,pos_key_pos,companyid_pb,pb_idx,method,score,src_file,rank,company_raw_pos,company_linkedin_url_pos,company_cleaned_pos,location_raw_pos,region_pos,country_pos,state_pos,metro_area_pos,weight_pos,rcid_pos,company_name_pos,ultimate_parent_rcid_pos,ultimate_parent_company_name_pos,onet_code_pos,onet_title_pos,ticker_pos,exchange_pos,cusip_pos,naics_code_pos,naics_description_pos,company_pos,linkedin_headquarters_pos,gvkey_pos,country_std_pos,state_std_pos,_first_name_raw_pos,company_norm_pos,linkedin_norm_pos,website_domain_pos,hqcountry_pb,hqstate_province_pb,country_std_pb,state_std_pb,companyname_pb,companyalsoknownas_pb,companylegalname_pb,companyformername_pb,file
0,individual_position_0126_part_01_with_company.parquet::0,168491-44,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Lidl Nederland,linkedin.com/company/lidl-nederland,lidl nederland,"Katwijk, South Holland, Netherlands",Western Europe,Netherlands,South Holland,rotterdam metropolitan area,1.255711,1462876.0,Lidl Nederland GmbH,22270496.0,D. Schwarz Beteiligungs-KG,41-2011.00,Cashiers,,,,445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),Lidl Nederland GmbH,"Huizen, Noord-Holland",,Netherlands,,lidl nederland,lidl nederland,http://linkedin.com/company/lidl-nederland,lidl.nl,Netherlands,,Netherlands,,Lidl Nederland,Lidl,Lidl Nederland GmbH,,individual_position_0126_part_01_with_company.parquet
1,individual_position_0126_part_01_with_company.parquet::10,10672-48,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Braxton Advisors,linkedin.com/company/braxton-advisors,braxton advisors,"Barcelone, Catalogne, Espagne",Southern Europe,Spain,Catalonia,barcelona metropolitan area,1.2988373,9836403.0,Braxton Advisors,9836403.0,Braxton Advisors,11-2021.00,Marketing Managers,,,,,,Braxton Advisors,"Dallas, Texas",,Spain,,braxton advisors,braxton advisors,http://linkedin.com/company/braxton-advisors,,Spain,,Spain,,Enigma Software Productions,Enigma Software,"Enigma Software Productions, S.L.",,individual_position_0126_part_01_with_company.parquet
2,individual_position_0126_part_01_with_company.parquet::10019,433769-50,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Avance BPO,linkedin.com/company/avance-bpo,avance bpo,"Bogotá, Distrito Capital, Colombia",Southern America,Colombia,Bogota D.C.,bogota metropolitan area,1.3079293,2192189.0,Avance Bpo,2192189.0,Avance Bpo,21-2021.00,"Directors, Religious Activities and Education",,,,,,Avance Bpo,,,Colombia,,avance bpo,avance bpo,http://linkedin.com/company/avance-bpo,,Colombia,,Colombia,,Netcom Service,Netcom,Netcom Service Ltda,,individual_position_0126_part_01_with_company.parquet
3,individual_position_0126_part_01_with_company.parquet::10039,10810-63,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,RACHANA TELEVISION PRIVATE LIMITED,linkedin.com/company/rachana-television-private-limited,rachana television private limited,"Hyderabad, Telangana, India",Southern Asia,India,Telangana,hyderabad metropolitan area (india),1.0499982,5777492.0,Rachana Television Private Limited,5777492.0,Rachana Television Private Limited,27-3041.00,Editors,,,,,,Rachana Television Private Limited,"HYDERABAD, Telangana",,India,,rachana television private limited,rachana television private,http://linkedin.com/company/rachana-television-private-limited,,India,Andhra Pradesh,India,,Nipuna Services,Nipuna,Nipuna Services Limited,,individual_position_0126_part_01_with_company.parquet
4,individual_position_0126_part_01_with_company.parquet::10040,57431-89,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Canteen Vending Services,linkedin.com/company/canteen-vending-services,canteen vending services,"York County, Pennsylvania, United States",Northern America,United States,Pennsylvania,baltimore metropolitan area,1.4760944,20964537.0,Canteen Vending Services,20964537.0,Canteen Vending Services,53-7065.00,Stockers and Order Fillers,,,,,,Canteen Vending Services,,,United States,PA,canteen vending services,canteen vending services,http://linkedin.com/company/canteen-vending-services,,United States,Pennsylvania,United States,PA,E-Duction,,"E-Duction, Inc.",MarketMembers.com,individual_position_0126_part_01_with_company.parquet
5,individual_position_0126_part_01_with_company.parquet::10048,10810-63,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Baptist church,,baptist church,"Hyderabad, Telangana, India",Southern Asia,India,Telangana,hyderabad metropolitan area (india),1.1079948,2250694.0,Baptist Church,2250694.0,Baptist Church,11-9032.00,"Education Administrators, Kindergarten through Secondary",,,,,,Baptist Church,"Raeford, North Carolina",,India,,baptist church,baptist church,http://linkedin.com/company/baptist-church,,India,Andhra Pradesh,India,,Nipuna Services,Nipuna,Nipuna Services Limited,,individual_position_0126_part_01_with_company.parquet
6,individual_position_0126_part_01_with_company.parquet::10053,57431-89,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,"TOKYO HEALTHLINK, INC.",linkedin.com/company/tokyo-healthlink-inc-,tokyo healthlink inc,"Alabang, Muntinlupa City",Northern America,United States,Pennsylvania,philadelphia metropolitan area,1.1969004,6762056.0,Tokyo Healthlink,6762056.0,Tokyo Healthlink,27-3091.00,Interpreters and Translators,,,,,,Tokyo Healthlink,,,United States,PA,tokyo healthlink inc,tokyo healthlink,http://linkedin.com/company/tokyo-healthlink-inc-,,United States,Pennsylvania,United States,PA,E-Duction,,"E-Duction, Inc.",MarketMembers.com,individual_position_0126_part_01_with_company.parquet
7,individual_position_0126_part_01_with_company.parquet::10054,58034-35,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Oscar Health,linkedin.com/company/oscar-health,oscar health,New York City Metropolitan Area,Northern America,United States,New York,new york city metropolitan area,1.0002877,233411.0,"Oscar Health, Inc.",233411.0,"Oscar Health, Inc.",13-2099.01,Financial Quantitative Analysts,OSCR,New York Stock Exchange,687793109,524114,Direct Health and Medical Insurance Carriers,"Oscar Health, Inc.","New York, New York",38019,United States,NY,oscar health,oscar health,http://linkedin.com/company/oscar-health,hioscar.com,United States,New York,United States,NY,Oscar,,Oscar Health Inc.,Mulberry Health,individual_position_0126_part_01_with_company.parquet
8,individual_position_0126_part_01_with_company.parquet::10068,57194-74,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,LES CHARMETTES IMMO CONSEIL,,les charmettes immo conseil,France,Western Europe,France,empty,france nonmetropolitan area,1.3871132,14728409.0,Les Charmettes Immo Conseil,14728409.0,Les Charmettes Immo Conseil,43-6012.00,Legal Secretaries and Administrative Assistants,,,,,,Les Charmettes Immo Conseil,TORCY,,France,,les charmettes immo conseil,les charmettes immo conseil,http://linkedin.com/company/les-charmettes-immo-conseil,,France,Cedex 1,France,,Synt:em,Synt em SA,Synt:em S.A.,,individual_position_0126_part_01_with_company.parquet
9,individual_position_0126_part_01_with_company.parquet::10071,57218-41,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,T.S.E. GROUP SRL,linkedin.com/company/t.s.e.-group-srl,t s e group srl,"Bologna, Emilia-Romagna, Italy",Southern Europe,Italy,Emilia-Romagna,bologna metropolitan area,1.3935194,92912249.0,T S E Group,92912249.0,T S E Group,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",,,,,,T S E Group,"ERCOLANO, Na",,Italy,,t s e group srl,t s e group,http://linkedin.com/company/t.s.e.-group-srl,,Italy,Milan,Italy,,Samares,,Samares SpA,,individual_position_0126_part_01_with_company.parquet
